#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.111  4.974184963e-44  4.765848321e+16  
   2.112  4.990246847e-44  4.765848321e+16  
   2.113  5.006325329e-44  4.761619529e+16  
   2.114  5.022420429e-44  4.761619529e+16  
   2.115  5.038532163e-44  4.761619529e+16  
   2.116  5.054660549e-44  4.757390738e+16  
   2.117  5.070805605e-44  4.757390738e+16  
   2.118  5.086967348e-44  4.753161946e+16  
   2.119  5.103145796e-44  4.753161946e+16  
   2.12   5.119340965e-44  4.748933154e+16  
   2.121  5.135552872e-44  4.748933154e+16  
   2.122  5.151781534e-44  4.744704362e+16  
   2.123  5.168026968e-44  4.74047557e+16   
   2.124  5.184289189e-44  4.74047557e+16   
   2.125  5.200568214e-44  4.736246779e+16  
   2.126  5.216864059e-44  4.736246779e+16  
   2.127  5.233176739e-44  4.732017987e+16  
   2.128  5.249506272e-44  4.732017987e+16  
   2.129  5.265852671e-44  4.727789195e+16  
   2.13   5.282215953e-44  4.727789195e+16  
   2.131  5.298596133e-44  4.723560403e+16  
   2.132  5.314993226e-44  4.719331612e+16  
   2.133  5.331407246e-44  4.710874028e+16  
   2.134  5.34783821e-44   4.710874028e+16  
   2.135  5.364286131e-44  4.706645236e+16  
   2.136  5.380751024e-44  4.702416445e+16  
   2.137  5.397232904e-44  4.702416445e+16  
   2.138  5.413731785e-44  4.698187653e+16  
   2.139  5.430247681e-44  4.698187653e+16  
   2.14   5.446780605e-44  4.693958861e+16  
   2.141  5.463330573e-44  4.677043694e+16  
   2.142  5.479897598e-44  4.677043694e+16  
   2.143  5.496481693e-44  4.677043694e+16  
   2.144  5.513082872e-44  4.672814902e+16  
   2.145  5.529701148e-44  4.672814902e+16  
   2.146  5.546336535e-44  4.66858611e+16   
   2.147  5.562989046e-44  4.664357319e+16  
   2.148  5.579658694e-44  4.660128527e+16  
   2.149  5.596345491e-44  4.660128527e+16  
   2.15   5.613049451e-44  4.655899735e+16  
   2.151  5.629770587e-44  4.626298193e+16  
   2.152  5.64650891e-44   4.626298193e+16  
   2.153  5.663264433e-44  4.622069401e+16  
   2.154  5.68003717e-44   4.622069401e+16  
   2.155  5.696827131e-44  4.622069401e+16  
   2.156  5.713634329e-44  4.617840609e+16  
   2.157  5.730458776e-44  4.617840609e+16  
   2.158  5.747300484e-44  4.613611817e+16  
   2.159  5.764159465e-44  4.613611817e+16  
   2.16   5.781035731e-44  4.609383026e+16  
   2.161  5.797929293e-44  4.605154234e+16  
   2.162  5.814840162e-44  4.605154234e+16  
   2.163  5.83176835e-44   4.605154234e+16  
   2.164  5.848713869e-44  4.600925442e+16  
   2.165  5.865676729e-44  4.600925442e+16  
   2.166  5.882656942e-44  4.592467859e+16  
   2.167  5.899654518e-44  4.592467859e+16  
   2.168  5.916669469e-44  4.588239067e+16  
   2.169  5.933701805e-44  4.588239067e+16  
   2.17   5.950751538e-44  4.584010275e+16  
   2.171  5.967818677e-44  4.584010275e+16  
   2.172  5.984903233e-44  4.579781483e+16  
   2.173  6.002005217e-44  4.579781483e+16  
   2.174  6.01912464e-44   4.575552692e+16  
   2.175  6.03626151e-44   4.575552692e+16  
   2.176  6.053415839e-44  4.5713239e+16    
   2.177  6.070587637e-44  4.5713239e+16    
   2.178  6.087776913e-44  4.567095108e+16  
   2.179  6.104983678e-44  4.567095108e+16  
   2.18   6.122207942e-44  4.562866316e+16  
   2.181  6.139449713e-44  4.562866316e+16  
   2.182  6.156709003e-44  4.562866316e+16  
   2.183  6.17398582e-44   4.558637524e+16  
   2.184  6.191280173e-44  4.554408733e+16  
   2.185  6.208592074e-44  4.554408733e+16  
   2.186  6.22592153e-44   4.550179941e+16  
   2.187  6.243268551e-44  4.545951149e+16  
   2.188  6.260633146e-44  4.545951149e+16  
   2.189  6.278015325e-44  4.541722357e+16  
   2.19   6.295415096e-44  4.541722357e+16  
   2.191  6.312832469e-44  4.537493566e+16  
   2.192  6.330267452e-44  4.537493566e+16  
   2.193  6.347720055e-44  4.537493566e+16  
   2.194  6.365190285e-44  4.533264774e+16  
   2.195  6.382678151e-44  4.529035982e+16  
   2.196  6.400183664e-44  4.529035982e+16  
   2.197  6.417706829e-44  4.52480719e+16   
   2.198  6.435247657e-44  4.52480719e+16   
   2.199  6.452806156e-44  4.520578399e+16  
   2.2    6.470382334e-44  4.520578399e+16  
   2.201  6.487976199e-44  4.520578399e+16  
   2.202  6.50558776e-44   4.516349607e+16  
   2.203  6.523217024e-44  4.512120815e+16  
   2.204  6.540864e-44     4.512120815e+16  
   2.205  6.558528696e-44  4.507892023e+16  
   2.206  6.576211119e-44  4.507892023e+16  
   2.207  6.593911278e-44  4.507892023e+16  
   2.208  6.611629181e-44  4.503663232e+16  
   2.209  6.629364834e-44  4.503663232e+16  
   2.21   6.647118246e-44  4.49943444e+16   
   2.211  6.664889425e-44  4.49943444e+16   
   2.212  6.682678378e-44  4.495205648e+16  
