# Created by O. Kyzylova
# U235 cross-section and spectrum from Huber model
# 0-2, 8-10 MeV - parametrization based on parametrization formula from Huber article
# 2-8 MeV - spline interpolation based on table data points from Huber article
# AntiNuEnergy	IBDCrossSection	AntiNuFlux


2.195	6.38268E-44	3.56572E17
2.205	6.55853E-44	3.54121E17
2.215	6.73615E-44	3.5167E17
2.225	6.91556E-44	3.4922E17
2.235	7.09675E-44	3.46769E17
2.245	7.27973E-44	3.44318E17
2.255	7.46452E-44	3.41837E17
2.265	7.65111E-44	3.39325E17
2.275	7.83951E-44	3.36813E17
2.285	8.02972E-44	3.34301E17
2.295	8.22176E-44	3.31789E17
2.305	8.41562E-44	3.29277E17
2.315	8.61131E-44	3.26765E17
2.325	8.80883E-44	3.24254E17
2.335	9.00819E-44	3.21742E17
2.345	9.20939E-44	3.1923E17
2.355	9.41243E-44	3.16718E17
2.365	9.61731E-44	3.14206E17
2.375	9.82404E-44	3.11694E17
2.385	1.00326E-43	3.09182E17
2.395	1.02431E-43	3.0667E17
2.405	1.04553E-43	3.04158E17
2.415	1.06695E-43	3.01646E17
2.425	1.08855E-43	2.99134E17
2.435	1.11034E-43	2.96622E17
2.445	1.13231E-43	2.9411E17
2.455	1.15447E-43	2.91598E17
2.465	1.17681E-43	2.89086E17
2.475	1.19935E-43	2.86575E17
2.485	1.22206E-43	2.84063E17
2.495	1.24497E-43	2.81551E17
2.505	1.26806E-43	2.79406E17
2.515	1.29134E-43	2.7763E17
2.525	1.31481E-43	2.75853E17
2.535	1.33847E-43	2.74076E17
2.545	1.36231E-43	2.72299E17
2.555	1.38634E-43	2.70523E17
2.565	1.41056E-43	2.68746E17
2.575	1.43497E-43	2.66969E17
2.585	1.45956E-43	2.65192E17
2.595	1.48435E-43	2.63416E17
2.605	1.50932E-43	2.61639E17
2.615	1.53448E-43	2.59862E17
2.625	1.55982E-43	2.58086E17
2.635	1.58536E-43	2.56309E17
2.645	1.61108E-43	2.54532E17
2.655	1.637E-43	2.52755E17
2.665	1.6631E-43	2.50979E17
2.675	1.68939E-43	2.49202E17
2.685	1.71587E-43	2.47425E17
2.695	1.74253E-43	2.45648E17
2.705	1.76939E-43	2.43872E17
2.715	1.79644E-43	2.42095E17
2.725	1.82367E-43	2.40318E17
2.735	1.85109E-43	2.38542E17
2.745	1.8787E-43	2.36765E17
2.755	1.90651E-43	2.35147E17
2.765	1.9345E-43	2.33689E17
2.775	1.96268E-43	2.32231E17
2.785	1.99104E-43	2.30773E17
2.795	2.0196E-43	2.29315E17
2.805	2.04835E-43	2.27857E17
2.815	2.07728E-43	2.26398E17
2.825	2.10641E-43	2.2494E17
2.835	2.13572E-43	2.23482E17
2.845	2.16523E-43	2.22024E17
2.855	2.19492E-43	2.20566E17
2.865	2.2248E-43	2.19108E17
2.875	2.25488E-43	2.1765E17
2.885	2.28514E-43	2.16191E17
2.895	2.31559E-43	2.14733E17
2.905	2.34623E-43	2.13275E17
2.915	2.37706E-43	2.11817E17
2.925	2.40808E-43	2.10359E17
2.935	2.43929E-43	2.08901E17
2.945	2.47069E-43	2.07443E17
2.955	2.50228E-43	2.05984E17
2.965	2.53406E-43	2.04526E17
2.975	2.56602E-43	2.03068E17
2.985	2.59818E-43	2.0161E17
2.995	2.63053E-43	2.00152E17
3.005	2.66307E-43	1.98822E17
3.015	2.69579E-43	1.97622E17
3.025	2.72871E-43	1.96421E17
3.035	2.76182E-43	1.9522E17
3.045	2.79511E-43	1.94019E17
3.055	2.8286E-43	1.92818E17
3.065	2.86227E-43	1.91617E17
3.075	2.89614E-43	1.90417E17
3.085	2.93019E-43	1.89216E17
3.095	2.96444E-43	1.88015E17
3.105	2.99888E-43	1.86814E17
3.115	3.0335E-43	1.85613E17
3.125	3.06832E-43	1.84412E17
3.135	3.10332E-43	1.83212E17
3.145	3.13851E-43	1.82011E17
3.155	3.1739E-43	1.8081E17
3.165	3.20947E-43	1.79609E17
3.175	3.24524E-43	1.78408E17
3.185	3.28119E-43	1.77208E17
3.195	3.31734E-43	1.76007E17
3.205	3.35367E-43	1.74806E17
3.215	3.3902E-43	1.73605E17
3.225	3.42691E-43	1.72404E17
3.235	3.46382E-43	1.71203E17
3.245	3.50091E-43	1.70003E17
3.255	3.53819E-43	1.68796E17
3.265	3.57567E-43	1.67583E17
3.275	3.61333E-43	1.66369E17
3.285	3.65119E-43	1.65156E17
3.295	3.68923E-43	1.63943E17
3.305	3.72747E-43	1.6273E17
3.315	3.76589E-43	1.61517E17
3.325	3.80451E-43	1.60304E17
3.335	3.84331E-43	1.59091E17
3.345	3.88231E-43	1.57878E17
3.355	3.92149E-43	1.56665E17
3.365	3.96087E-43	1.55452E17
3.375	4.00043E-43	1.54239E17
3.385	4.04019E-43	1.53026E17
3.395	4.08013E-43	1.51813E17
3.405	4.12027E-43	1.50599E17
3.415	4.1606E-43	1.49386E17
3.425	4.20111E-43	1.48173E17
3.435	4.24182E-43	1.4696E17
3.445	4.28271E-43	1.45747E17
3.455	4.3238E-43	1.44534E17
3.465	4.36508E-43	1.43321E17
3.475	4.40654E-43	1.42108E17
3.485	4.4482E-43	1.40895E17
3.495	4.49005E-43	1.39682E17
3.505	4.53209E-43	1.38524E17
3.515	4.57431E-43	1.37421E17
3.525	4.61673E-43	1.36318E17
3.535	4.65934E-43	1.35215E17
3.545	4.70214E-43	1.34113E17
3.555	4.74512E-43	1.3301E17
3.565	4.7883E-43	1.31907E17
3.575	4.83167E-43	1.30804E17
3.585	4.87523E-43	1.29701E17
3.595	4.91898E-43	1.28599E17
3.605	4.96292E-43	1.27496E17
