#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.128  5.249506272e-44  4.387138993e+16  
   2.129  5.265852671e-44  4.384738188e+16  
   2.13   5.282215953e-44  4.382337898e+16  
   2.131  5.298596133e-44  4.379938126e+16  
   2.132  5.314993226e-44  4.37753887e+16   
   2.133  5.331407246e-44  4.375140133e+16  
   2.134  5.34783821e-44   4.372741914e+16  
   2.135  5.364286131e-44  4.370344215e+16  
   2.136  5.380751024e-44  4.367947035e+16  
   2.137  5.397232904e-44  4.365550376e+16  
   2.138  5.413731785e-44  4.363154237e+16  
   2.139  5.430247681e-44  4.36075862e+16   
   2.14   5.446780605e-44  4.358363526e+16  
   2.141  5.463330573e-44  4.355968953e+16  
   2.142  5.479897598e-44  4.353574904e+16  
   2.143  5.496481693e-44  4.351181379e+16  
   2.144  5.513082872e-44  4.348788379e+16  
   2.145  5.529701148e-44  4.346395903e+16  
   2.146  5.546336535e-44  4.344003953e+16  
   2.147  5.562989046e-44  4.34161253e+16   
   2.148  5.579658694e-44  4.339221633e+16  
   2.149  5.596345491e-44  4.336831263e+16  
   2.15   5.613049451e-44  4.334441421e+16  
   2.151  5.629770587e-44  4.332052108e+16  
   2.152  5.64650891e-44   4.329663324e+16  
   2.153  5.663264433e-44  4.32727507e+16   
   2.154  5.68003717e-44   4.324887345e+16  
   2.155  5.696827131e-44  4.322500152e+16  
   2.156  5.713634329e-44  4.32011349e+16   
   2.157  5.730458776e-44  4.31772736e+16   
   2.158  5.747300484e-44  4.315341762e+16  
   2.159  5.764159465e-44  4.312956698e+16  
   2.16   5.781035731e-44  4.310572167e+16  
   2.161  5.797929293e-44  4.308188171e+16  
   2.162  5.814840162e-44  4.305804709e+16  
   2.163  5.83176835e-44   4.303421783e+16  
   2.164  5.848713869e-44  4.301039393e+16  
   2.165  5.865676729e-44  4.298657539e+16  
   2.166  5.882656942e-44  4.296276222e+16  
   2.167  5.899654518e-44  4.293895443e+16  
   2.168  5.916669469e-44  4.291515203e+16  
   2.169  5.933701805e-44  4.289135501e+16  
   2.17   5.950751538e-44  4.286756339e+16  
   2.171  5.967818677e-44  4.284377716e+16  
   2.172  5.984903233e-44  4.281999634e+16  
   2.173  6.002005217e-44  4.279622093e+16  
   2.174  6.01912464e-44   4.277245094e+16  
   2.175  6.03626151e-44   4.274868637e+16  
   2.176  6.053415839e-44  4.272492723e+16  
   2.177  6.070587637e-44  4.270117352e+16  
   2.178  6.087776913e-44  4.267742525e+16  
   2.179  6.104983678e-44  4.265368242e+16  
   2.18   6.122207942e-44  4.262994505e+16  
   2.181  6.139449713e-44  4.260621313e+16  
   2.182  6.156709003e-44  4.258248667e+16  
   2.183  6.17398582e-44   4.255876568e+16  
   2.184  6.191280173e-44  4.253505016e+16  
   2.185  6.208592074e-44  4.251134012e+16  
   2.186  6.22592153e-44   4.248763556e+16  
   2.187  6.243268551e-44  4.24639365e+16   
   2.188  6.260633146e-44  4.244024293e+16  
   2.189  6.278015325e-44  4.241655485e+16  
   2.19   6.295415096e-44  4.239287229e+16  
   2.191  6.312832469e-44  4.236919523e+16  
   2.192  6.330267452e-44  4.23455237e+16   
   2.193  6.347720055e-44  4.232185768e+16  
   2.194  6.365190285e-44  4.22981972e+16   
   2.195  6.382678151e-44  4.227454225e+16  
   2.196  6.400183664e-44  4.225089283e+16  
   2.197  6.417706829e-44  4.222724896e+16  
   2.198  6.435247657e-44  4.220361065e+16  
   2.199  6.452806156e-44  4.217997788e+16  
   2.2    6.470382334e-44  4.215635068e+16  
   2.201  6.487976199e-44  4.213272905e+16  
   2.202  6.50558776e-44   4.210911298e+16  
   2.203  6.523217024e-44  4.20855025e+16   
   2.204  6.540864e-44     4.20618976e+16   
   2.205  6.558528696e-44  4.203829828e+16  
   2.206  6.576211119e-44  4.201470457e+16  
   2.207  6.593911278e-44  4.199111645e+16  
   2.208  6.611629181e-44  4.196753393e+16  
   2.209  6.629364834e-44  4.194395703e+16  
   2.21   6.647118246e-44  4.192038574e+16  
   2.211  6.664889425e-44  4.189682007e+16  
   2.212  6.682678378e-44  4.187326003e+16  
   2.213  6.700485113e-44  4.184970562e+16  
   2.214  6.718309636e-44  4.182615685e+16  
   2.215  6.736151957e-44  4.180261372e+16  
   2.216  6.75401208e-44   4.177907624e+16  
   2.217  6.771890015e-44  4.175554441e+16  
   2.218  6.789785769e-44  4.173201824e+16  
   2.219  6.807699347e-44  4.170849774e+16  
   2.22   6.825630759e-44  4.16849829e+16   
   2.221  6.84358001e-44   4.166147374e+16  
   2.222  6.861547108e-44  4.163797026e+16  
   2.223  6.879532059e-44  4.161447247e+16  
   2.224  6.897534871e-44  4.159098037e+16  
   2.225  6.91555555e-44   4.156749396e+16  
   2.226  6.933594104e-44  4.154401326e+16  
   2.227  6.951650538e-44  4.152053826e+16  
   2.228  6.96972486e-44   4.149706898e+16  
   2.229  6.987817076e-44  4.147360541e+16  
   2.23   7.005927193e-44  4.145014757e+16  
   2.231  7.024055218e-44  4.142669545e+16  
   2.232  7.042201156e-44  4.140324907e+16  
   2.233  7.060365015e-44  4.137980843e+16  
   2.234  7.0785468e-44    4.135637353e+16  
   2.235  7.096746519e-44  4.133294438e+16  
   2.236  7.114964177e-44  4.130952098e+16  
   2.237  7.13319978e-44   4.128610335e+16  
   2.238  7.151453336e-44  4.126269148e+16  
   2.239  7.169724849e-44  4.123928538e+16  
   2.24   7.188014326e-44  4.121588506e+16  
   2.241  7.206321774e-44  4.119249052e+16  
   2.242  7.224647197e-44  4.116910176e+16  
   2.243  7.242990603e-44  4.11457188e+16   
   2.244  7.261351997e-44  4.112234163e+16  
   2.245  7.279731385e-44  4.109897026e+16  
   2.246  7.298128773e-44  4.10756047e+16   
   2.247  7.316544166e-44  4.105224496e+16  
   2.248  7.334977571e-44  4.102889103e+16  
   2.249  7.353428993e-44  4.100554292e+16  
   2.25   7.371898437e-44  4.098220064e+16  
   2.251  7.39038591e-44   4.095886419e+16  
   2.252  7.408891417e-44  4.093553359e+16  
   2.253  7.427414964e-44  4.091220882e+16  
   2.254  7.445956556e-44  4.088888991e+16  
   2.255  7.464516198e-44  4.086557684e+16  
   2.256  7.483093896e-44  4.084226964e+16  
   2.257  7.501689656e-44  4.08189683e+16   
   2.258  7.520303482e-44  4.079567283e+16  
   2.259  7.53893538e-44   4.077238323e+16  
   2.26   7.557585356e-44  4.074909952e+16  
   2.261  7.576253414e-44  4.072582168e+16  
   2.262  7.59493956e-44   4.070254974e+16  
   2.263  7.613643799e-44  4.067928369e+16  
   2.264  7.632366136e-44  4.065602355e+16  
   2.265  7.651106576e-44  4.06327693e+16   
   2.266  7.669865125e-44  4.060952097e+16  
   2.267  7.688641786e-44  4.058627855e+16  
   2.268  7.707436566e-44  4.056304205e+16  
